Patch ID,Execution,Task Name,Topology,Test,OperationsTotal,DocumentsTotal,SizeTotal,DurationTotal,OverheadTotal,ErrorsTotal,AverageLatency,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,LatencyMin,LatencyMax,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,ErrorRate
63e149bf3e8e862138abedc7,0,insert_only_blimit_0_8_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,312100000000,88897498245,0,2400537.904722,169,3204.101249599487,3204.101249599487,541493.1111823133,903814,328994952,2281918.5,2773472,3015900.6333333333,3262456,4075538.970000001,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_10_16_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,39604356000000,99242595584,0,630545811.576729,169,25.249747780269423,25.249747780269423,4267.207374865532,24708259,38088015865,279015894,591220054,1039160249.6666671,2513384856.8500066,7183566106.480008,16,16,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_10_16_4,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,30810175000000,69839967528,0,122883513.504468,169,32.45681012847217,32.45681012847217,5485.200911711797,31658851,10623406579,83584417,152852202.6,206332740.3666667,271279587.8000001,499350538.153336,4,4,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_10_16_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,31961288000000,83189584176,0,254299264.006886,169,31.287850477114688,31.287850477114688,5287.646730632382,49333961,17603486469,138974255,279311207.8,414298868.60000044,612437826.25,2475480823.5466743,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_10_4_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,48351666000000,97001107721,0,770302262.190899,169,20.6818106329573,20.6818106329573,3495.225996969784,27259299,59301921766,153990368.5,405081958.0000001,1374921040.333334,4471852279.450001,11715148223.646677,16,16,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_10_4_4,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,50138494000000,87704467949,0,200153831.309232,169,19.944755420854882,19.944755420854882,3370.663666124475,27195989,31000765158,75168830.5,167955806.00000003,272827851.5000002,459884458.9000003,2536668932.1066923,4,4,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_10_4_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,49193615000000,94609112888,0,391267712.60222,169,20.3278413265624,20.3278413265624,3435.405184189046,23645174,39449451271,107154244.5,251555281.60000002,485834352.8333339,1349428373.7000003,6567951027.53668,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_10_8_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,41190557000000,91972958201,0,652975394.41719,169,24.277409018770978,24.277409018770978,4102.882124172295,24047975,49863284341,192450742,454303570.40000004,1002898098.8333335,3457443070.100001,9090045944.25672,16,16,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_10_8_4,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,40102347000000,94857676793,0,159995309.418727,169,24.936196377733204,24.936196377733204,4214.217187836911,28610315,15912836781,83030486,171335835.6000001,254707536.30000007,365771775,1280649125.7300005,4,4,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_10_8_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,37518835000000,66827637291,0,298184297.153676,169,26.65327961275983,26.65327961275983,4504.404254556412,24949026,26579597488,120436606.5,256384567.60000005,422872568.66666687,812518126.0000007,4472274912.256671,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_16_1,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,2135653000000,50788367766,0,2085031.676706,169,468.24086122605127,468.24086122605127,79132.70554720267,873172,131618616,1993837,2317721.8000000007,2694296.6333333333,2889890.2,3409295,1,1,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_16_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,217183000000,182383503177,0,3281353.734081,169,4604.411947528121,4604.411947528121,778145.6191322525,1101680,620506621,3099127,3702611.8000000007,4127744.1333333347,4548968.850000001,6255947.790000041,16,16,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_16_4,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,580194000000,96678118775,0,2224367.798618,169,1723.5614294529073,1723.5614294529073,291281.88157754135,982044,209984394,2297583.5,2675648,2831513.0666666673,2977374,3438944.3633333435,4,4,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_16_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,415974000000,127817458033,0,3196287.654821,169,2403.99640362138,2403.99640362138,406275.39221201325,1077438,313408237,2985707,3532540,4005040.433333334,4582848.2,7354542.093333352,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_1_1,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,2071612000000,50469386128,0,2021334.668973,169,482.7158753666227,482.7158753666227,81578.98293695923,985016,148661597,1970137.5,2238627,2583697.433333334,2768213,3142148.890000004,1,1,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_1_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,211863000000,178472782286,0,3208663.807843,169,4720.031341008104,4720.031341008104,797685.2966303696,1108926,711264640,3037505.5,3612600.8000000007,4020732.1333333347,4429606.800000001,5924747.756666686,16,16,0
