,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
37,query_es2_1_16.q2.reads,query_es2_1_16,es2,q2.reads,fixed_10: uar,2,1,16,1069756.4393875,1.0697564393875,367.5843875,13028.256088938693,13028.256088938693,4788983.534645675,0.0,989747.5,1314915.0,1563867.2,1820564.8499999996,2432638.8899999997,16,16,10979328.0,507054.0,12280999000.0,0.0,160000.0,160000.0,58813502.0,35345402474304.0
38,query_es2_1_16.q3.reads,query_es2_1_16,es2,q3.reads,"uar_[6,10]: uar",3,1,16,997593.23686875,0.9975932368687501,368.08329375,14311.270125223615,14311.270125223615,5267739.445438283,0.0,919431.5,1216916.0,1446341.0,1677644.5999999999,2242161.329999998,16,16,19154957.0,494533.0,11180000000.0,0.0,160000.0,160000.0,58893327.0,35546056697193.0
39,query_es2_1_16.q4.reads,query_es2_1_16,es2,q4.reads,"uar_[6,10]: uar_alllow",4,1,16,990920.71431875,0.99092071431875,368.1079625,14188.171870902888,14188.171870902888,5222779.0389978755,0.0,910964.0,1215817.0,1444699.8333333333,1679160.45,2246140.1966666663,16,16,11014216.0,496051.0,11276999000.0,0.0,160000.0,160000.0,58897274.0,35732323418964.0
40,query_es2_4_1.load.inserts,query_es2_4_1,es2,load.inserts,load,load,4,1,28317952.95057,28.31795295057,156.38311,35.20882530331523,35.20882530331523,5506.065600379128,0.0,28703297.0,29834508.599999998,30350019.066666666,30819655.65,32199654.099999987,1,1,124246765.0,10783971.0,2840197000000.0,0.0,100000.0,100000.0,15638311.0,8489443907.0
41,query_es2_4_1.q1.reads,query_es2_4_1,es2,q1.reads,fixed_10: fixed_hf,1,4,1,554213.6829,0.5542136829,369.0,1693.7669376693768,1693.7669376693768,625000.0,0.0,552389.0,559630.4,566170.0666666667,570247.8500000001,584007.73,1,1,839098.0,524574.0,5904000000.0,0.0,10000.0,10000.0,3690000.0,2840622441889.0
42,query_es2_4_1.q2.reads,query_es2_4_1,es2,q2.reads,fixed_10: uar,2,4,1,704307.7281,0.7043077281,367.6247,1286.5047326006345,1286.5047326006345,472950.9163708885,0.0,680465.5,827654.4,887247.1333333333,966120.0,1059002.5500000003,1,1,1273785.0,492565.0,7772999000.0,0.0,10000.0,10000.0,3676247.0,2847057911767.0
43,query_es2_4_1.q3.reads,query_es2_4_1,es2,q3.reads,"uar_[6,10]: uar",3,4,1,659720.118,0.659720118,368.0544,1409.8408867673604,1409.8408867673604,518898.1416746288,0.0,630997.0,757158.8,828346.0666666667,890293.2999999998,1020102.3833333335,1,1,1412926.0,485337.0,7092999000.0,0.0,10000.0,10000.0,3680544.0,2855124070933.0
44,query_es2_4_1.q4.reads,query_es2_4_1,es2,q4.reads,"uar_[6,10]: uar_alllow",4,4,1,669186.0584,0.6691860584000002,368.0791,1392.3700072918416,1392.3700072918416,512502.29915097455,0.0,640109.0,769794.0,842509.8333333333,903860.9499999998,1027992.6700000012,1,1,1342699.0,498235.0,7181999000.0,0.0,10000.0,10000.0,3680791.0,2862721988915.0
45,query_es2_4_4.load.inserts,query_es2_4_4,es2,load.inserts,load,load,4,4,60542806.33251,60.54280633251001,156.38311,65.31333095068996,65.31333095068996,10213.901818528153,0.0,33175583.0,63798809.6,90791507.46666667,125684213.49999985,313212929.4933308,4,4,18508922758.0,13685973.0,1531080999000.0,0.0,100000.0,100000.0,15638311.0,15575713976.0
46,query_es2_4_4.q1.reads,query_es2_4_4,es2,q1.reads,fixed_10: fixed_hf,1,4,4,592480.66605,0.59248066605,369.0,6267.627702914448,6267.627702914448,2312754.622375431,0.0,590996.0,606389.0,616144.0,623955.6499999999,642285.5033333332,4,4,1914081.0,546918.0,6382000000.0,0.0,40000.0,40000.0,14760000.0,6133171323337.0
47,query_es2_4_4.q2.reads,query_es2_4_4,es2,q2.reads,fixed_10: uar,2,4,4,768823.250025,0.768823250025,367.394825,4729.810184440131,4729.810184440131,1737707.7849955996,0.0,738161.0,924342.0,1003012.0333333333,1063244.2,1127281.6133333333,4,4,1478170.0,510545.0,8456999000.0,0.0,40000.0,40000.0,14695793.0,6160554730724.0
48,query_es2_4_4.q3.reads,query_es2_4_4,es2,q3.reads,"uar_[6,10]: uar",3,4,4,700427.318825,0.700427318825,368.06885,5300.821627352239,5300.821627352239,1951067.3204346674,0.0,669658.0,805715.6,900107.7666666666,970035.2,1081292.5333333332,4,4,1415696.0,490672.0,7546000000.0,0.0,40000.0,40000.0,14722754.0,6195606393604.0
49,query_es2_4_4.q4.reads,query_es2_4_4,es2,q4.reads,"uar_[6,10]: uar_alllow",4,4,4,704336.5064,0.7043365064,368.085575,5269.397971281781,5269.397971281781,1939589.3821630878,0.0,673780.5,812677.3999999999,905962.833333333,978879.85,1086795.423333333,4,4,1963377.0,502988.0,7591000000.0,0.0,40000.0,40000.0,14723423.0,6227831934939.0
50,query_es2_4_8.load.inserts,query_es2_4_8,es2,load.inserts,load,load,4,8,120209597.78315,120.20959778315002,156.38311,64.84062498581612,64.84062498581612,10139.97858962563,0.0,53032705.0,106550969.00000003,161122427.86666664,247285384.24999917,1232184867.2733333,8,8,21503094863.0,25833612.0,1542243000000.0,0.0,100000.0,100000.0,15638311.0,40616855072.0
51,query_es2_4_8.q1.reads,query_es2_4_8,es2,q1.reads,fixed_10: fixed_hf,1,4,8,629905.2754625,0.6299052754625,369.0,11464.604681084076,11464.604681084076,4230439.127320024,0.0,611669.0,647894.0,695463.7,797638.0499999999,934779.8099999998,8,8,9792436.0,543559.0,6977999000.0,0.0,80000.0,80000.0,29520000.0,12373479281210.0
52,query_es2_4_8.q2.reads,query_es2_4_8,es2,q2.reads,fixed_10: uar,2,4,8,744788.717125,0.7447887171249999,367.5981625,9537.434430138293,9537.434430138293,3505943.3714830712,0.0,721337.5,858371.2,934478.8333333333,988782.3999999999,1143179.89,8,8,2446126.0,512183.0,8388000000.0,0.0,80000.0,80000.0,29407853.0,12432941285547.0
53,query_es2_4_8.q3.reads,query_es2_4_8,es2,q3.reads,"uar_[6,10]: uar",3,4,8,696987.6644125,0.6969876644124999,368.07855,10413.95605492789,10413.95605492789,3833153.844461578,0.0,672607.0,782649.8,854166.0666666667,918012.0,1047118.0,8,8,2289302.0,497209.0,7681999000.0,0.0,80000.0,80000.0,29446284.0,12502358381890.0
54,query_es2_4_8.q4.reads,query_es2_4_8,es2,q4.reads,"uar_[6,10]: uar_alllow",4,4,8,705642.52035,0.7056425203500001,368.1016125,10018.786476992671,10018.786476992671,3687931.4574741963,0.0,674921.5,797907.0,886583.7,955573.5999999999,1143585.0,8,8,10007916.0,498513.0,7984999000.0,0.0,80000.0,80000.0,29448129.0,12567705090162.0
55,query_es2_4_16.load.inserts,query_es2_4_16,es2,load.inserts,load,load,4,16,263971309.89633,263.97130989632996,156.38311,58.91686065043036,58.91686065043036,9213.601899950922,0.0,90393294.5,194164040.20000002,328753556.06666666,682497135.4999995,4508910552.543326,16,16,23783297992.0,29757207.0,1697307000000.0,0.0,100000.0,100000.0,15638311.0,148371507718.0
56,query_es2_4_16.q1.reads,query_es2_4_16,es2,q1.reads,fixed_10: fixed_hf,1,4,16,803040.04605,0.80304004605,369.0,17685.4205814082,17685.4205814082,6525920.194539626,0.0,696872.0,967733.8,1086438.2,1277624.25,1612765.8099999998,16,16,18039313.0,552347.0,9047000000.0,0.0,160000.0,160000.0,59040000.0,27305935324081.0
57,query_es2_4_16.q2.reads,query_es2_4_16,es2,q2.reads,fixed_10: uar,2,4,16,975112.67915,0.9751126791500001,367.55159375,14320.237565581094,14320.237565581094,5263426.140107951,0.0,896717.5,1163312.0,1364246.0,1552352.2,2014259.959999999,16,16,20947847.0,516484.0,11172999000.0,0.0,160000.0,160000.0,58808255.0,27458161612185.0
58,query_es2_4_16.q3.reads,query_es2_4_16,es2,q3.reads,"uar_[6,10]: uar",3,4,16,912502.82156875,0.9125028215687498,368.019925,15479.876160990712,15479.876160990712,5696902.86377709,0.0,839364.5,1082492.0,1261906.1333333333,1428108.4,1845851.6133333333,16,16,20484935.0,515154.0,10336000000.0,0.0,160000.0,160000.0,58883188.0,27641626182665.0
59,query_es2_4_16.q4.reads,query_es2_4_16,es2,q4.reads,"uar_[6,10]: uar_alllow",4,4,16,912235.8571125,0.9122358571124998,368.0554375,15508.385723406585,15508.385723406585,5707945.692347164,0.0,845260.0,1086739.2000000002,1267070.0666666667,1430561.4,1822962.97,16,16,19266378.0,512061.0,10316999000.0,0.0,160000.0,160000.0,58888870.0,27815057767129.0
60,query_es2_8_1.load.inserts,query_es2_8_1,es2,load.inserts,load,load,8,1,27265645.32165,27.265645321650002,156.38311,36.58415233055684,36.58415233055684,5721.143518166226,0.0,27698963.0,28681835.6,29034838.200000003,29362671.700000003,30058085.0,1,1,77397814.0,9764272.0,2733424000000.0,0.0,100000.0,100000.0,15638311.0,6943752025.0
61,query_es2_8_1.q1.reads,query_es2_8_1,es2,q1.reads,fixed_10: fixed_hf,1,8,1,564981.5039,0.5649815038999999,369.0,1662.5106670840676,1662.5106670840676,613466.436154021,0.0,562808.0,568888.0,574910.0,579592.2,598518.78,1,1,894800.0,549302.0,6014999000.0,0.0,10000.0,10000.0,3690000.0,2733852527448.0
62,query_es2_8_1.q2.reads,query_es2_8_1,es2,q2.reads,fixed_10: uar,2,8,1,721427.6098,0.7214276098,367.6247,1266.1433274246644,1266.1433274246644,465465.56090149406,0.0,697575.5,848191.2000000001,916647.6666666666,999270.1499999999,1097080.6233333335,1,1,5363870.0,504601.0,7898000000.0,0.0,10000.0,10000.0,3676247.0,2740337091859.0
63,query_es2_8_1.q3.reads,query_es2_8_1,es2,q3.reads,"uar_[6,10]: uar",3,8,1,670965.7263,0.6709657263,368.0544,1395.0892857142858,1395.0892857142858,513468.75,0.0,640050.0,774618.0,849819.8333333334,913574.0999999999,1046275.4500000002,1,1,1470983.0,492048.0,7168000000.0,0.0,10000.0,10000.0,3680544.0,2748495604555.0
64,query_es2_8_1.q4.reads,query_es2_8_1,es2,q4.reads,"uar_[6,10]: uar_alllow",4,8,1,675608.4556,0.6756084555999999,368.0791,1387.5398917718885,1387.5398917718885,510724.4345774941,0.0,644571.0,780998.4,858323.1333333333,926420.3499999996,1052497.4733333334,1,1,1656244.0,496938.0,7207000000.0,0.0,10000.0,10000.0,3680791.0,2756126248255.0
65,query_es2_8_4.load.inserts,query_es2_8_4,es2,load.inserts,load,load,8,4,49669070.53487,49.66907053487,156.38311,79.95266808445615,79.95266808445615,12503.246887844994,0.0,33701673.0,57782226.400000006,75195484.56666665,105436179.85,212552155.53666627,4,4,10328324921.0,14187751.0,1250739999000.0,0.0,100000.0,100000.0,15638311.0,14606742921.0
66,query_es2_8_4.q1.reads,query_es2_8_4,es2,q1.reads,fixed_10: fixed_hf,1,8,4,567937.696125,0.567937696125,369.0,6577.866564358915,6577.866564358915,2427232.7622484397,0.0,564814.0,580112.8,589502.6333333333,597906.75,615375.5333333332,4,4,945448.0,527234.0,6080999000.0,0.0,40000.0,40000.0,14760000.0,5011787433652.0
67,query_es2_8_4.q2.reads,query_es2_8_4,es2,q2.reads,fixed_10: uar,2,8,4,682458.550775,0.682458550775,367.416675,5244.526025960404,5244.526025960404,1926926.3144093354,0.0,659869.5,784853.8,842354.8999999999,879538.4000000001,1055292.5033333313,4,4,1689542.0,498180.0,7627000000.0,0.0,40000.0,40000.0,14696667.0,5038262996156.0
68,query_es2_8_4.q3.reads,query_es2_8_4,es2,q3.reads,"uar_[6,10]: uar",3,8,4,630659.6494,0.6306596494000001,368.077625,5815.6440825821455,5815.6440825821455,2140608.46176214,0.0,608210.0,705138.6,765955.1333333333,813308.7000000002,908507.9199999999,4,4,1324695.0,488268.0,6878000000.0,0.0,40000.0,40000.0,14723105.0,5069938143647.0
69,query_es2_8_4.q4.reads,query_es2_8_4,es2,q4.reads,"uar_[6,10]: uar_alllow",4,8,4,632081.657625,0.632081657625,368.076075,5836.860621167463,5836.860621167463,2148408.747761382,0.0,610803.0,706380.8,764686.8666666665,813416.45,914535.3199999994,4,4,1343123.0,484592.0,6852999000.0,0.0,40000.0,40000.0,14723043.0,5099478428446.0
70,query_es2_8_8.load.inserts,query_es2_8_8,es2,load.inserts,load,load,8,8,99150747.31881,99.15074731881002,156.38311,79.52728978949126,79.52728978949126,12436.724907151889,0.0,56382770.5,103151138.20000002,145537398.36666664,206005752.64999986,690930195.7666665,8,8,15572237030.0,28709333.0,1257430000000.0,0.0,100000.0,100000.0,15638311.0,39736798591.0
71,query_es2_8_8.q1.reads,query_es2_8_8,es2,q1.reads,fixed_10: fixed_hf,1,8,8,630280.97465,0.6302809746499999,369.0,11680.539010153163,11680.539010153163,4310118.894746517,0.0,618855.0,646244.0,666671.0666666667,702009.5499999999,932316.8099999998,8,8,2451683.0,552165.0,6848999000.0,0.0,80000.0,80000.0,29520000.0,10095114636999.0
72,query_es2_8_8.q2.reads,query_es2_8_8,es2,q2.reads,fixed_10: uar,2,8,8,744407.65765,0.7444076576500002,367.671875,9491.043954329572,9491.043954329572,3489589.9263957683,0.0,721910.0,847127.0,917071.4333333332,968005.3999999999,1087836.9266666663,8,8,11088373.0,517285.0,8428998999.999999,0.0,80000.0,80000.0,29413750.0,10153445560784.0
73,query_es2_8_8.q3.reads,query_es2_8_8,es2,q3.reads,"uar_[6,10]: uar",3,8,8,700372.709975,0.700372709975,368.0978625,10331.912695337724,10331.912695337724,3803154.97869043,0.0,679006.0,784596.0,851213.0,910170.3999999997,1031176.1966666665,8,8,1500164.0,510844.0,7743000000.0,0.0,80000.0,80000.0,29447829.0,10223239292471.0
74,query_es2_8_8.q4.reads,query_es2_8_8,es2,q4.reads,"uar_[6,10]: uar_alllow",4,8,8,721289.940625,0.7212899406250001,368.1104125,9842.51968503937,9842.51968503937,3623133.9812992127,0.0,691178.0,820202.8,912440.7666666666,977042.2,1159237.0066666664,8,8,2365917.0,508735.0,8128000000.0,0.0,80000.0,80000.0,29448833.0,10289092646513.0
75,query_es2_8_16.load.inserts,query_es2_8_16,es2,load.inserts,load,load,8,16,239433046.68552,239.43304668551997,156.38311,65.19958898179107,65.19958898179107,10196.114495694219,0.0,108758504.5,218578576.60000002,344629977.6,554095641.1999997,3366036559.683333,16,16,24821307507.0,30057185.0,1533752000000.0,0.0,100000.0,100000.0,15638311.0,139035082661.0
76,query_es2_8_16.q1.reads,query_es2_8_16,es2,q1.reads,fixed_10: fixed_hf,1,8,16,825006.636625,0.8250066366250001,369.0,15882.469724042088,15882.469724042088,5860631.328171531,0.0,705795.0,984189.6000000001,1156759.6333333333,1337294.6999999997,1762677.4733333332,16,16,18460633.0,563229.0,10074000000.0,0.0,160000.0,160000.0,59040000.0,24678470027661.0
77,query_es2_8_16.q2.reads,query_es2_8_16,es2,q2.reads,fixed_10: uar,2,8,16,1085576.7591375,1.0855767591375003,367.4697625,12915.724895059735,12915.724895059735,4746138.359702938,0.0,1008496.0,1340051.8,1584726.0,1840039.7499999993,2435248.313333333,16,16,8959602.0,523015.0,12388000000.0,0.0,160000.0,160000.0,58795162.0,24846831457811.0
78,query_es2_8_16.q3.reads,query_es2_8_16,es2,q3.reads,"uar_[6,10]: uar",3,8,16,989736.7576625,0.9897367576625001,368.0495,14340.773894485425,14340.773894485425,5278114.661478413,0.0,922075.0,1201835.8,1411897.0666666667,1631672.2999999996,2130784.6133333333,16,16,8888316.0,526552.0,11156999000.0,0.0,160000.0,160000.0,58887920.0,25049222218624.0
79,query_es2_8_16.q4.reads,query_es2_8_16,es2,q4.reads,"uar_[6,10]: uar_alllow",4,8,16,994552.62959375,0.9945526295937501,368.08425,14315.1126702257,14315.1126702257,5269167.510885525,0.0,927367.0,1206594.8,1416332.7666666666,1638694.0499999998,2137309.486666666,16,16,15288471.0,526683.0,11176999000.0,0.0,160000.0,160000.0,58893480.0,25235181088984.0
80,query_es2_16_1.load.inserts,query_es2_16_1,es2,load.inserts,load,load,16,1,28743155.80439,28.74315580439,156.38311,34.67389549241921,34.67389549241921,5422.411612919498,0.0,29031266.0,30262820.2,30842104.766666666,31165493.1,32214393.48999999,1,1,97720581.0,11393532.0,2884013999000.0,0.0,100000.0,100000.0,15638311.0,9790393029.0
81,query_es2_16_1.q1.reads,query_es2_16_1,es2,q1.reads,fixed_10: fixed_hf,1,16,1,575854.6668,0.5758546668,369.0,1637.4652038644178,1637.4652038644178,604224.6602259702,0.0,574539.5,581761.6,587902.0666666667,593892.2,607150.97,1,1,877669.0,544731.0,6107000000.0,0.0,10000.0,10000.0,3690000.0,2884429548665.0
82,query_es2_16_1.q2.reads,query_es2_16_1,es2,q2.reads,fixed_10: uar,2,16,1,723816.2561,0.7238162560999999,367.6247,1253.9184952978057,1253.9184952978057,460971.41065830726,0.0,699209.0,852014.4,923916.2666666666,1006736.7999999999,1108071.3133333337,1,1,1382878.0,503658.0,7975000000.0,0.0,10000.0,10000.0,3676247.0,2891095907202.0
83,query_es2_16_1.q3.reads,query_es2_16_1,es2,q3.reads,"uar_[6,10]: uar",3,16,1,686793.9191,0.6867939191,368.0544,1351.7166801838334,1351.7166801838334,497505.27169505274,0.0,655792.5,788767.6000000001,866594.1333333333,934235.8999999996,1074475.2633333337,1,1,1508913.0,504536.0,7398000000.0,0.0,10000.0,10000.0,3680544.0,2899411028377.0
