,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
112,query_es3_4_8.q2.reads,query_es3_4_8,es3,q2.reads,fixed_1: uar,2,4,8,3617445.6898,3.6174456898,367.5034,2014.910336490026,2014.910336490026,740486.3993552286,0.0,2705831.5,2899236.4000000004,4343706.166666666,4772499.95,25813979.730000068,8,8,109454749.0,2397538.0,4963000000.0,0.0,10000.0,10000.0,3675034.0,1801567014173.0
113,query_es3_4_8.q3.reads,query_es3_4_8,es3,q3.reads,"uar_[1,5]: uar",3,4,8,3032957.5646,3.0329575646,367.8687,2334.267585029782,2334.267585029782,858703.9819570454,0.0,2640742.5,2761736.6,3728812.3,4591498.75,24955840.093333393,8,8,102901046.0,469999.0,4283998999.9999995,0.0,10000.0,10000.0,3678687.0,1846328659099.0
114,query_es3_4_8.q4.reads,query_es3_4_8,es3,q4.reads,"uar_[1,5]: uar_alllow",4,4,8,2453225.9884,2.4532259884000003,368.1143,3090.234857849197,3090.234857849197,1137559.6415327566,0.0,2606569.0,2706570.2,3509872.7333333334,4428478.25,4872401.67666667,8,8,7445308.0,462745.0,3236000000.0,0.0,10000.0,10000.0,3681143.0,1885681464943.0
115,query_es3_4_16.load.inserts,query_es3_4_16,es3,load.inserts,load,load,4,16,23835201.58214,23.83520158214,156.5451,617.3182460753992,617.3182460753992,96638.14656369797,0.0,10397312.5,20139582.800000004,30529787.8,46426654.449999966,166830563.27999997,16,16,16144423252.0,3848780.0,161991000000.0,0.0,100000.0,100000.0,15654510.0,175196070015.0
116,query_es3_4_16.q1.reads,query_es3_4_16,es3,q1.reads,fixed_1: fixed_hf,1,4,16,17551658.7623,17.5516587623,355.0,901.0632546404757,901.0632546404757,319877.4553973689,0.0,17253213.5,21979349.6,25647404.3,28054969.999999996,35274926.61000003,16,16,52506049.0,8586528.0,11098000000.0,0.0,10000.0,10000.0,3550000.0,2772519312421.0
117,query_es3_4_16.q2.reads,query_es3_4_16,es3,q2.reads,fixed_1: uar,2,4,16,5503307.4473,5.503307447299999,367.4257,2509.4109182963407,2509.4109182963407,922022.0632426759,0.0,3964627.5,5993510.0,7844434.366666666,10129808.75,38146006.53666679,16,16,201529844.0,2041859.0,3984999000.0,0.0,10000.0,10000.0,3674257.0,2952771057893.0
118,query_es3_4_16.q3.reads,query_es3_4_16,es3,q3.reads,"uar_[1,5]: uar",3,4,16,4432637.4759,4.4326374759,367.8274,3076.9240236689307,3076.9240236689307,1131776.963623681,0.0,3514554.5,5251587.0,6831296.666666666,8902844.7,21793795.196666766,16,16,219647107.0,489271.0,3249999000.0,0.0,10000.0,10000.0,3678274.0,3026814374497.0
119,query_es3_4_16.q4.reads,query_es3_4_16,es3,q4.reads,"uar_[1,5]: uar_alllow",4,4,16,3608051.179,3.6080511790000003,368.1286,4231.908590774439,4231.908590774439,1557886.5848497672,0.0,3519158.0,4886517.0,6040118.7,6933169.749999996,9359865.193333337,16,16,18310923.0,477530.0,2363000000.0,0.0,10000.0,10000.0,3681286.0,3088968769852.0
120,query_es3_8_1.load.inserts,query_es3_8_1,es3,load.inserts,load,load,8,1,4886903.38451,4.886903384509999,156.5451,202.57226259037256,202.57226259037256,31711.69510443613,0.0,4825633.0,5384618.800000001,5615820.7,5779600.299999999,6203424.426666666,1,1,53629745.0,3378541.0,493651000000.0,0.0,100000.0,100000.0,15654510.0,5044467741.0
121,query_es3_8_1.q1.reads,query_es3_8_1,es3,q1.reads,fixed_1: fixed_hf,1,8,1,9276681.7877,9.2766817877,355.0,107.39177709109804,107.39177709109804,38124.080867339806,0.0,9269256.5,9303373.4,9326674.7,9352001.3,9478424.24,1,1,13156728.0,9153680.0,93116999000.0,0.0,10000.0,10000.0,3550000.0,494528460119.0
