,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
52,query_es2_4_16.q3.reads,query_es2_4_16,es2,q3.reads,"uar_[6,10]: uar",3,4,16,12358678.0469,12.3586780469,360.8277,1174.9500646222536,1096.6983903184116,423954.52943249914,0.0,656629.5,868650.4000000001,10871836.099999998,157410277.54999998,192985656.4900001,16,16,257516849.0,460696.0,8510999999.999999,0.0,10000.0,9334.0,3608277.0,2349723854368.0
53,query_es2_4_16.q4.reads,query_es2_4_16,es2,q4.reads,"uar_[6,10]: uar_alllow",4,4,16,13170333.8136,13.170333813600001,359.0532,1083.3063680323223,1005.9582933548145,388964.618022383,0.0,654040.5,873030.0000000001,12829001.366666656,161701742.34999996,192621978.32999998,16,16,272200202.0,468901.0,9230999000.0,0.0,10000.0,9286.0,3590532.0,2475058103587.0
54,query_es2_4_16.q5.reads,query_es2_4_16,es2,q5.reads,fixed_int: int,5,4,16,6608003.57923,6.608003579229999,380.0,2145.324311786933,2145.324311786933,815223.2384790345,0.0,5850291.0,8252155.400000007,9040203.633333333,10512753.299999986,13356841.993333323,16,16,36269163.0,4228718.0,46612999000.0,0.0,100000.0,100000.0,38000000.0,2686692208268.0
55,query_es2_4_16.q6.7,query_es2_4_16,es2,q6.7,fixed_int: int_txn,6,4,16,7377629.42381,7.3776294238099975,190.0,3417.6349965823647,1708.8174982911823,649350.6493506493,0.0,7120497.0,9402169.0,10502279.6,11538882.05,13711932.493333332,16,16,21698643.0,4168043.0,58520000000.0,0.0,200000.0,100000.0,38000000.0,2831268867238.0
56,query_es2_8_1.load.inserts,query_es2_8_1,es2,load.inserts,load,load,8,1,3927398.45977,3.927398459770001,174.4612,251.0645135373986,251.0645135373986,43801.0163091508,0.0,3825857.5,4381665.4,4781159.133333333,5203382.2,6713749.066666663,1,1,58534187.0,2379834.0,398304000000.0,0.0,100000.0,100000.0,17446120.0,7234592737.0
57,query_es2_8_1.q1.reads,query_es2_8_1,es2,q1.reads,fixed_10: fixed_hf,1,8,1,503076.3013,0.5030763012999999,388.0,1855.2879137825444,1855.2879137825444,719851.7105476273,0.0,497637.0,513378.0,517043.06666666665,523196.85,535967.0866666667,1,1,755762.0,487688.0,5389999000.0,0.0,10000.0,10000.0,3880000.0,400732769317.0
58,query_es2_8_1.q2.reads,query_es2_8_1,es2,q2.reads,fixed_10: uar,2,8,1,6662951.7209,6.6629517209,361.1233,148.35694901501296,138.6098974647266,53575.15100623323,0.0,613417.5,740609.8,823698.6333333333,92405299.1,92774777.15666667,1,1,100201868.0,464600.0,67404999000.0,0.0,10000.0,9343.0,3611233.0,406538481221.0
59,query_es2_8_1.q3.reads,query_es2_8_1,es2,q3.reads,"uar_[6,10]: uar",3,8,1,6385523.2555,6.3855232555,362.1092,155.17107611141284,145.36426410117156,56188.87423384282,0.0,599366.5,723409.6000000001,821867.4666666666,90529809.05,93520242.45666666,1,1,94234959.0,470868.0,64444999999.99999,0.0,10000.0,9368.0,3621092.0,473613151568.0
60,query_es2_8_1.q4.reads,query_es2_8_1,es2,q4.reads,"uar_[6,10]: uar_alllow",4,8,1,7102972.0699,7.1029720699,359.1627,139.81320955203847,129.88647167384374,50215.68983837593,0.0,602185.0,727968.4,834085.0333333332,90981096.05,93713056.23333333,1,1,94266752.0,470015.0,71524000000.0,0.0,10000.0,9290.0,3591627.0,537326861065.0
61,query_es2_8_1.q5.reads,query_es2_8_1,es2,q5.reads,fixed_int: int,5,8,1,4141545.64457,4.14154564457,0.0,215.83448131916845,0.0,0.0,0.0,4139748.0,4158558.2,4169860.0,4180125.0,4202658.613333333,1,1,5669158.0,4019463.0,463317999000.0,0.0,100000.0,0.0,0.0,658515085331.0
